# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
45000 100 2112
  26 0.255 19.174 909.432
  27 0.265 19.866 920.726
  28 0.275 20.564 942.325
  29 0.285 21.254 936.077
  30 0.295 21.444 920.605
  31 0.305 21.54 868.393
  32 0.315 21.642 896.804
  33 0.325 21.78 895.147
  34 0.335 21.9 887.178
  35 0.345 21.944 953.346
  36 0.355 21.732 954.247
  37 0.365 20.964 1000.76
  38 0.375 19.968 1031.9
  39 0.385 19.698 1049.07
  40 0.395 20.318 1032.24
  41 0.405 21.592 1056.95
  42 0.415 21.69 1099.13
  43 0.425 21.958 1075.14
  44 0.435 21.744 1047.91
  45 0.445 21.66 1049
  46 0.455 21.584 1038.28
  47 0.465 21.398 1020.08
  48 0.475 21.176 1062.42
  49 0.485 20.322 1125.12
  50 0.495 19.402 1090.93
  51 0.505 19.262 1120.79
  52 0.515 20.136 1124.82
  53 0.525 21.16 1040.34
  54 0.535 21.428 1003.53
  55 0.545 21.56 1006.27
  56 0.555 21.492 1053.52
  57 0.565 21.926 1019.33
  58 0.575 21.856 993.432
  59 0.585 21.928 981.425
  60 0.595 21.462 981.59
  61 0.605 20.708 938.365
  62 0.615 19.66 873.695
  63 0.625 20 867.948
  64 0.635 20.596 950.491
  65 0.645 21.816 969.375
  66 0.655 21.776 923.27
  67 0.665 21.888 914.218
  68 0.675 21.89 930.533
  69 0.685 21.61 972.434
  70 0.695 21.42 1017.15
  71 0.705 21.516 988.708
  72 0.715 21.15 959.649
  73 0.725 20.562 979.116
  74 0.735 19.478 990.829
  75 0.745 19.684 898.079
  76 0.755 19.788 928.245
  77 0.765 21.014 906.037
  78 0.775 21.402 893.168
  79 0.785 21.554 923.846
  80 0.795 21.642 893.508
  81 0.805 21.652 890.858
  82 0.815 21.876 844.814
  83 0.825 21.966 863.058
  84 0.835 21.908 843.845
  85 0.845 21.68 846.745
  86 0.855 20.692 865.856
  87 0.865 19.57 825.619
  88 0.875 19.9 819.758
  89 0.885 20.804 804.244
  90 0.895 21.52 840.97
