#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  84000      1.63e+00    1.85e+00      2.84e-03    1.85e-03      8.26e-02    9.46e-02      2.45e-02    2.81e-02    3.7e-04
  84500      2.03e+00    6.96e-01      1.26e-02    9.66e-03      1.03e-01    3.16e-02      3.31e-02    2.85e-02    3.7e-04
  85000      1.40e+00    2.11e+00      1.25e-02    1.07e-02      6.93e-02    1.08e-01      2.36e-02    2.68e-02    3.7e-04
  85500      1.16e+00    1.59e+00      1.29e-02    1.03e-02      5.80e-02    7.96e-02      1.35e-02    3.77e-02    3.7e-04
  86000      1.99e+00    2.42e+00      1.98e-02    5.76e-03      1.01e-01    1.25e-01      2.50e-02    1.22e-02    3.7e-04
  86500      1.86e+00    1.12e+00      1.77e-02    1.89e-02      9.50e-02    5.57e-02      1.38e-02    9.20e-03    3.7e-04
  87000      1.08e+00    1.64e+00      7.15e-03    7.34e-03      5.46e-02    8.49e-02      1.59e-02    8.14e-03    3.7e-04
  87500      1.31e+00    7.74e-01      2.99e-02    2.41e-02      6.07e-02    3.29e-02      2.15e-02    2.45e-02    3.7e-04
  88000      1.85e+00    5.21e-01      2.22e-02    2.24e-02      9.33e-02    2.04e-02      2.29e-02    5.99e-03    3.7e-04
  88500      1.13e+00    1.09e+00      5.87e-03    3.64e-03      5.43e-02    5.60e-02      3.78e-02    1.03e-02    3.7e-04
  89000      1.17e+00    1.70e+00      1.02e-03    2.76e-03      6.03e-02    8.72e-02      1.25e-02    2.52e-02    3.7e-04
  89500      1.68e+00    1.03e+00      1.72e-02    1.84e-02      8.54e-02    5.16e-02      1.44e-02    5.66e-03    3.7e-04
  90000      1.40e+00    1.63e+00      3.79e-03    6.27e-03      6.58e-02    8.21e-02      4.20e-02    3.27e-02    3.7e-04
  90500      1.44e+00    1.07e+00      4.46e-03    1.01e-03      7.38e-02    5.52e-02      1.90e-02    1.69e-03    3.7e-04
  91000      1.93e+00    1.61e+00      1.04e-02    1.27e-02      9.90e-02    8.28e-02      1.69e-02    5.11e-03    3.7e-04
  91500      1.60e+00    1.30e+00      2.29e-03    3.63e-03      8.23e-02    6.74e-02      1.18e-02    7.30e-03    3.7e-04
  92000      1.81e+00    2.77e+00      1.51e-02    1.82e-02      8.41e-02    1.41e-01      4.95e-02    4.38e-02    3.7e-04
  92500      1.09e+00    1.19e+00      3.43e-03    4.61e-03      4.84e-02    6.02e-02      5.21e-02    2.51e-02    3.7e-04
  93000      1.63e+00    9.25e-01      3.29e-02    3.39e-02      8.02e-02    3.98e-02      1.35e-02    1.02e-02    3.7e-04
  93500      1.41e+00    2.40e+00      8.65e-03    2.35e-03      7.20e-02    1.23e-01      1.20e-02    2.35e-02    3.7e-04
  94000      1.73e+00    1.02e+00      1.37e-03    9.79e-04      8.76e-02    5.23e-02      2.88e-02    1.46e-02    3.7e-04
  94500      1.11e+00    2.56e+00      5.73e-03    8.56e-03      5.68e-02    1.31e-01      1.16e-02    2.87e-02    3.7e-04
  95000      1.61e+00    4.49e-01      1.31e-02    1.11e-02      8.19e-02    1.72e-02      1.82e-02    2.41e-02    3.7e-04
  95500      1.50e+00    1.22e+00      7.28e-03    1.35e-02      7.39e-02    6.18e-02      3.89e-02    1.08e-02    3.7e-04
  96000      1.62e+00    1.37e+00      3.54e-03    1.33e-03      7.89e-02    6.61e-02      4.64e-02    4.64e-02    3.7e-04
  96500      1.51e+00    2.44e+00      3.97e-02    4.38e-02      7.02e-02    1.21e-01      2.37e-02    1.64e-02    3.7e-04
  97000      1.14e+00    1.74e+00      1.43e-02    9.66e-03      5.63e-02    8.94e-02      1.79e-02    1.51e-02    3.7e-04
  97500      1.06e+00    2.68e+00      7.27e-03    8.22e-03      5.28e-02    1.38e-01      2.07e-02    2.87e-02    3.7e-04
  98000      1.49e+00    1.22e+00      3.46e-03    3.17e-03      7.38e-02    5.90e-02      3.55e-02    4.06e-02    3.7e-04
  98500      1.68e+00    2.05e+00      6.55e-03    8.22e-03      8.64e-02    1.05e-01      1.22e-02    1.45e-02    3.7e-04
  99000      1.99e+00    1.16e+00      3.97e-03    4.01e-04      1.01e-01    5.91e-02      3.32e-02    1.93e-02    3.7e-04
  99500      1.56e+00    1.22e+00      9.54e-03    1.09e-02      7.94e-02    6.26e-02      1.59e-02    7.83e-03    3.7e-04
